Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,nFORCE__App__c,nFORCE__Body__c,nFORCE__Group__c,nFORCE__Icon_Class__c,nFORCE__Is_Hidden__c,nFORCE__Navigation__c,nFORCE__Order__c,nFORCE__Parent_App__c,nFORCE__Screen__c,nFORCE__Toolbar__c,nFORCE__Sub_Navigation__c,nFORCE__Topbar__c,nFORCE__lookupKey__c,nFORCE__Parameters__c,nPortal__Portal_Header_Text__c,nPortal__Portal_Icon_Path__c,nPortal__Portal_Subheader_Text__c,nPortal__Search_Object_Filter__c,nPortal__Search_Object_Type__c,nPortal__Search_Results_Fieldset__c,nPortal__Search_Select_Active_Text__c,nPortal__Search_Select_Text__c,AutorabitExtId__c
"a324T000000PW9xQAG","0054T000000ZYm5QAG","","Next Steps","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","sbl-next-steps","NPORTAL__NextSteps","","","false","NPORTAL__ApplicationNavigation","90.0","","","","","NPORTAL__LoanTopbar","42785549106570650","","","standard-sprite/svg/symbols.svg#endorsement","","","","","","",""
"a324T000000PW9yQAG","0054T000000ZYm5QAG","","Application","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","sbl-apply-ind-other","NPORTAL__PortalForm","","","false","NPORTAL__ApplicationNavigation","10.0","","","","","NPORTAL__LoanTopbar","42136527191942999","","","","","","","","","",""
"a324T000000PW9zQAG","0054T000000ZYm5QAG","","Personal Info","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","sbl-personal-ind-other","NPORTAL__PortalForm","","","false","NPORTAL__ApplicationNavigation","20.0","","a344T000000PEZMQA4","","","NPORTAL__LoanTopbar","42628099547096367","","Tell us about yourself","utility-sprite/svg/symbols.svg#identity","We need to know a bit about the person representing the business.","","","","","",""
"a324T000000PWA0QAO","0054T000000ZYm5QAG","","Verification","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","sbl-eid-ind-other","NPORTAL__PortalEIDVerification","","","false","NPORTAL__ApplicationNavigation","30.0","","","","","NPORTAL__LoanTopbar","42648502700528014","","Let's verify your identity","utility-sprite/svg/symbols.svg#check","This questionnaire protects you, and us, from identity fraud.","","","","","",""
"a324T000000PWA1QAO","0054T000000ZYm5QAG","","Review & Submit","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","sbl-review-ind-other","NPORTAL__PortalReview","","","false","NPORTAL__ApplicationNavigation","40.0","","","","","NPORTAL__LoanTopbar","42739730511848452","","Does everything look right?","utility-sprite/svg/symbols.svg#preview","Let's double check what you've entered.  Once you submit this, we'll process your application and get you a credit decision in 1-2 days","","","","","",""
"a324T000000PWA2QAO","0054T000000ZYm5QAG","","Next Steps","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","sbl-next-steps-ind-other","NPORTAL__NextSteps","","","false","NPORTAL__ApplicationNavigation","50.0","","","","","NPORTAL__LoanTopbar","42338588585543643","","","standard-sprite/svg/symbols.svg#endorsement","","","","","","",""
"a324T000000PWA3QAO","0054T000000ZYm5QAG","","Application","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","dep-apply","NPORTAL__PortalForm","","","false","NPORTAL__ApplicationNavigation","10.0","","","","","NPORTAL__LoanTopbar","42843861345104032","","","","","","","","","",""
"a324T000000PWA4QAO","0054T000000ZYm5QAG","","Personal Info","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","dep-personal","NPORTAL__PortalForm","","","false","NPORTAL__ApplicationNavigation","20.0","","a344T000000PEZNQA4","","","NPORTAL__LoanTopbar","42096359702054707","","Tell us about yourself","utility-sprite/svg/symbols.svg#identity","We'll use this information to verify your identity and run government mandated checks.","","","","","",""
"a324T000000PWA5QAO","0054T000000ZYm5QAG","","Verification","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","dep-eid-individual","NPORTAL__PortalEIDVerification","","","false","NPORTAL__ApplicationNavigation","30.0","","","","","NPORTAL__LoanTopbar","42080140615336181","","Let's verify your identity","utility-sprite/svg/symbols.svg#check","This questionnaire protects you, and us, from identity fraud.","","","","","",""
"a324T000000PWA6QAO","0054T000000ZYm5QAG","","Review & Submit","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","dep-review","NPORTAL__PortalReview","","","false","NPORTAL__ApplicationNavigation","40.0","","","","","NPORTAL__LoanTopbar","42235714181844477","","Does everything look right?","utility-sprite/svg/symbols.svg#preview","Let's double check what you've entered. Once you submit this, your application will go through an approval process before your account is officially open.","","","","","",""
"a324T000000PWA7QAO","0054T000000ZYm5QAG","","Your Account","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","dep-account","NPORTAL__DepositAccount","","","false","NPORTAL__ApplicationNavigation","50.0","","","","","NPORTAL__LoanTopbar","42506594962254750","","","action-sprite/svg/symbols.svg#check","","","","","","",""
"a324T000000PWA8QAO","0054T000000ZYm5QAG","","Application","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","dep-apply-bus","NPORTAL__PortalForm","","","false","NPORTAL__ApplicationNavigation","10.0","","","","","NPORTAL__LoanTopbar","42593459130771724","","","","","","","","","",""
"a324T000000PWA9QAO","0054T000000ZYm5QAG","","Your Business","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","dep-business","NPORTAL__PortalForm","","","false","NPORTAL__ApplicationNavigation","20.0","","","","","NPORTAL__LoanTopbar","42100000314240099","","","","","","","","","",""
"a324T000000PWAAQA4","0054T000000ZYm5QAG","","Business Search","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","dep-account-search-business","NPORTAL__SearchResults","","","false","NPORTAL__ApplicationNavigation","30.0","","","","","NPORTAL__LoanTopbar","42295846564874680","","Your Business","utility-sprite/svg/symbols.svg#search","Which business would you like to apply with?","Type != 'Individual'","Account","nPortal__Deposit_Account_Search_Fields","? Continue With This Business","Apply With This Business",""
"a324T000000PWABQA4","0054T000000ZYm5QAG","","Business Info","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","2019-09-09T15:17:11.000Z","0054T000000ZYm5QAG","","","","dep-business-info","NPORTAL__PortalForm","","","false","NPORTAL__ApplicationNavigation","40.0","","a344T000000PEZOQA4","","","NPORTAL__LoanTopbar","42074495085584629","","Tell us about your business","standard-sprite/svg/symbols.svg#account","We'll use this information to verify your business and confirm your eligibility.","","","","","",""
